,index,year,state,district,party,votes,totalvotes,two_party_pct,total_pct
530,530,1976,NY,14,REPUBLICAN,8977,65591,0.1387480680061824,0.13686328917077037
531,531,1976,NY,15,DEMOCRAT,75846,109487,0.6927397773251619,0.6927397773251619
532,532,1976,NY,15,REPUBLICAN,33641,109487,0.3072602226748381,0.3072602226748381
533,533,1976,NY,16,DEMOCRAT,93995,113418,0.8287485231621083,0.8287485231621083
534,534,1976,NY,16,REPUBLICAN,19423,113418,0.1712514768378917,0.1712514768378917
535,535,1976,NY,17,DEMOCRAT,97782,135915,0.7194349409557445,0.7194349409557445
536,536,1976,NY,17,REPUBLICAN,38133,135915,0.2805650590442556,0.2805650590442556
537,537,1976,NY,18,DEMOCRAT,112187,149422,0.7568236706828393,0.7508064408186211
538,538,1976,NY,18,REPUBLICAN,36047,149422,0.2431763293171607,0.24124292272891543
539,539,1976,NY,19,DEMOCRAT,91672,94481,0.9768864355665434,0.9702691546448492
540,540,1976,NY,19,REPUBLICAN,2169,94481,0.023113564433456593,0.02295699664482806
541,541,1976,NY,20,DEMOCRAT,91977,110490,0.8406328257809786,0.832446375237578
542,542,1976,NY,20,REPUBLICAN,17437,110490,0.15936717421902133,0.1578151868947416
543,543,1976,NY,21,DEMOCRAT,41285,41883,0.985722130697419,0.985722130697419
544,544,1976,NY,21,REPUBLICAN,598,41883,0.014277869302580999,0.014277869302580999
545,545,1976,NY,22,DEMOCRAT,92044,106592,0.8635169618733113,0.8635169618733113
546,546,1976,NY,22,REPUBLICAN,14548,106592,0.1364830381266887,0.1364830381266887
547,547,1976,NY,23,DEMOCRAT,80424,173430,0.4637259989621173,0.4637259989621173
548,548,1976,NY,23,REPUBLICAN,93006,173430,0.5362740010378827,0.5362740010378827
549,549,1976,NY,24,DEMOCRAT,101901,183012,0.5567995541275982,0.5567995541275982
550,550,1976,NY,24,REPUBLICAN,81111,183012,0.4432004458724018,0.4432004458724018
551,551,1976,NY,25,DEMOCRAT,58216,197605,0.29460792996128643,0.29460792996128643
552,552,1976,NY,25,REPUBLICAN,139389,197605,0.7053920700387136,0.7053920700387136
553,553,1976,NY,26,DEMOCRAT,63932,183981,0.3474924041069458,0.3474924041069458
554,554,1976,NY,26,REPUBLICAN,120049,183981,0.6525075958930542,0.6525075958930542
555,555,1976,NY,27,DEMOCRAT,127048,190674,0.6663100370265479,0.6663100370265479
556,556,1976,NY,27,REPUBLICAN,63626,190674,0.33368996297345205,0.33368996297345205
557,557,1976,NY,28,DEMOCRAT,170034,215162,0.79422851457585,0.7902603619598256
558,558,1976,NY,28,REPUBLICAN,44053,215162,0.20577148542415,0.20474340264544855
559,559,1976,NY,29,DEMOCRAT,100663,214222,0.47376174250268266,0.469900383714091
560,560,1976,NY,29,REPUBLICAN,111813,214222,0.5262382574973173,0.5219491928933536
561,561,1976,NY,30,DEMOCRAT,75951,171515,0.44282424277759963,0.44282424277759963
562,562,1976,NY,30,REPUBLICAN,95564,171515,0.5571757572224004,0.5571757572224004
563,563,1976,NY,31,DEMOCRAT,62032,185175,0.3349912245173485,0.3349912245173485
564,564,1976,NY,31,REPUBLICAN,123143,185175,0.6650087754826516,0.6650087754826516
565,565,1976,NY,32,DEMOCRAT,103543,185140,0.559268661553419,0.559268661553419
566,566,1976,NY,32,REPUBLICAN,81597,185140,0.44073133844658097,0.44073133844658097
567,567,1976,NY,33,DEMOCRAT,51612,182755,0.28241087795135567,0.28241087795135567
568,568,1976,NY,33,REPUBLICAN,131143,182755,0.7175891220486443,0.7175891220486443
569,569,1976,NY,34,DEMOCRAT,58247,192196,0.30306041749047846,0.30306041749047846
570,570,1976,NY,34,REPUBLICAN,133949,192196,0.6969395825095215,0.6969395825095215
571,571,1976,NY,35,DEMOCRAT,67177,187915,0.3574860974376713,0.3574860974376713
